game_id,total_moves,analysis_timestamp,average_depth,total_nodes,total_time,blunders,mistakes,inaccuracies,best_moves,good_moves,suboptimal_moves,average_centipawn_loss,opening_accuracy,opening_blunders,opening_avg_complexity,middlegame_accuracy,middlegame_blunders,middlegame_avg_complexity,endgame_accuracy,endgame_blunders,endgame_avg_complexity,critical_moments,average_position_complexity,max_position_complexity,evaluation_volatility,original_game_id,original_result,original_player_one,original_player_two,original_player_one_time,original_player_two_time,original_player_one_score,original_player_two_score,original_player_one_illegal_moves,original_player_two_illegal_moves,original_player_one_legal_moves,original_player_two_legal_moves,original_player_one_resignation,original_player_two_resignation,original_player_one_failed_to_find_legal_move,original_player_two_failed_to_find_legal_move,original_game_title,original_number_of_moves,original_time_taken,original_total_moves,original_illegal_moves,original_player_one_illegal_moves_details,original_player_two_illegal_moves_details,original_source_file
1749432204-4506,73,2025-06-26T13:48:06.196295,24.63013698630137,10691954,6.288000000000004,2,3,2,22,3,48,177.3835616438356,96.93333333333334,0,30.792896794360324,87.8103448275862,2,58.636653508751564,0.0,0,0.0,57,52.91533363593145,76.0,4008.4342915057023,1749432204-4506,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,37,37,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,37,2.9629359245300293,37,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432204-6342,96,2025-06-26T13:48:16.565157,13.84375,14409110,10.119000000000002,23,13,12,33,4,59,291.6979166666667,79.46666666666667,3,39.93463533250929,68.82926829268293,15,38.627312047064464,50.08,5,32.99308285034971,51,37.568603387121506,64.0,1038.8232224493252,1749432204-6342,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,48,48,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,49,4.460121393203735,48,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432206-7258,59,2025-06-26T13:48:22.252562,28.305084745762713,8575208,5.381000000000001,0,1,1,29,5,25,9.745762711864407,96.0,0,36.7869945912526,97.15,0,54.70083095270471,99.8,0,50.00364725440251,37,45.099592114312614,82.0,4704.207946010735,1749432206-7258,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,30,30,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,30,2.4293289184570312,30,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432208-2501,96,2025-06-26T13:48:30.756708,19.90625,14208406,8.213999999999999,25,7,3,31,9,56,1693.4895833333333,90.28125,0,32.81437760994855,57.36065573770492,24,51.82276760137835,66.33333333333333,1,51.120000000000005,67,45.46467611669201,85.00000000000001,3729.2903936062353,1749432208-2501,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,48,48,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,49,3.737921714782715,48,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432209-5933,24,2025-06-26T13:48:33.675918,13.916666666666666,3602863,2.706000000000001,7,1,1,18,0,6,742.2916666666666,98.9375,2,41.26162937430894,75.0,5,57.25,0.0,0,0.0,12,46.591086249539295,79.0,2067.698092334001,1749432209-5933,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,12,12,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,13,1.0740535259246826,12,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432211-9208,100,2025-06-26T13:48:43.199727,16.26,14860682,9.222999999999999,35,2,10,48,1,51,605.26,95.05263157894737,0,36.542693843496274,84.92105263157895,12,42.85583556874635,55.395348837209305,23,40.21018297165621,91,40.51870802420007,76.0,1771.2396204635893,1749432211-9208,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,50,50,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,51,4.535241365432739,50,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432212-2835,85,2025-06-26T13:48:50.839868,28.16470588235294,12561125,7.309000000000001,1,2,3,35,3,47,119.14117647058823,89.02439024390245,0,33.88639715549654,96.76666666666667,1,55.13014657245263,100.0,0,43.90265824110101,72,43.033928187345296,88.00000000000001,6138.2099444894975,1749432212-2835,1/2-1/2,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1/2,1/2,0,0,43,43,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,43,3.3727710247039795,43,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432215-3604,60,2025-06-26T13:48:57.063620,13.5,9006662,5.963000000000001,10,0,3,23,2,35,350.9,93.2258064516129,0,36.35031162204693,70.51724137931035,10,47.99016101529092,0.0,0,0.0,23,41.97623882878153,77.1826141752823,1334.3468451102042,1749432215-3604,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,30,30,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,31,2.682018280029297,30,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432215-9524,94,2025-06-26T13:49:07.102036,16.861702127659573,13960646,9.759999999999998,41,9,7,36,6,52,646.2872340425532,70.76,7,36.473475455008895,53.37931034482759,28,39.36078808096502,63.63636363636363,6,38.26387494983167,82,38.46452361190789,70.0,1818.106154404264,1749432215-9524,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,47,47,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,48,4.082314014434815,47,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432218-2238,91,2025-06-26T13:49:14.507177,23.384615384615383,13308934,7.100000000000001,1,2,4,37,3,51,111.58241758241758,86.04,0,32.25706345971204,93.5,1,56.97737193585252,100.0,0,66.02782309064509,74,51.77736651357965,94.0,3456.9286337433737,1749432218-2238,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,46,46,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,46,3.44507384300232,46,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
